category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
K00005	0.22204899981227777	0.042706876100396945	0.11203608697765524	0.3320619126469003	-1.6975843112289166	0.35277190051453494	-2.606324726954359	-0.7888438955034746	285	0.08719537116791654	3.355597399945509e-08
K00010	0.09996537904628702	0.037736143055055085	0.0027570745364651206	0.19717368355610893	-0.7565392605206337	0.31757774778268405	-1.574619538808828	0.06154101776756049	300	0.023006969485375506	0.01147599630351026
K00012	-0.19182411427408075	0.13551190639681987	-0.5409027851522887	0.15725455660412724	1.6760748458162953	1.1478575513191434	-1.2808062063818182	4.6329558980144085	48	0.04174226353432997	1.7207506707048854
K00014	0.25954594107450035	0.02089713665069863	0.20571491706230066	0.31337696508670004	-1.9598133202568666	0.17346877892560306	-2.4066688947692203	-1.5129577457445131	1673	0.08451427043754023	0.0
K00019	0.10885700032632632	0.026150955403598377	0.0414921392066569	0.17622186144599575	-0.8609589407803747	0.2230415923142622	-1.4355140825819142	-0.2864037989788353	507	0.03317375686226742	1.6190721498610117e-05
K00021	0.11877177942705264	0.018574749600778033	0.07092322445544842	0.16662033439865687	-0.9302156901717296	0.14950554838429417	-1.3153419828096713	-0.5450893975337878	347	0.1059548730857659	4.9622528308646e-12
K00027	0.0859438281740281	0.021574273445212615	0.030368499779160403	0.1415191565688958	-0.5846597517918452	0.17976105666482514	-1.0477242337604347	-0.12159526982325558	1244	0.012615995419302695	4.096907861028676e-05
K00028	0.0859438281740281	0.021574273445212615	0.030368499779160403	0.1415191565688958	-0.5846597517918452	0.17976105666482514	-1.0477242337604347	-0.12159526982325558	1244	0.012615995419302695	4.096907861028676e-05
K00029	0.013068320029599583	0.036981136959710725	-0.08219508877861526	0.10833172883781442	0.018843670852288677	0.3085285291806616	-0.7759258203170957	0.813613162021673	323	0.0003888705504968559	0.9235793726894292
K00060	0.019838796788278542	0.011201260692803913	-0.009015650756384337	0.04869324433294142	-0.1524923685177303	0.09477041005832738	-0.3966209448279816	0.09163620779252105	593	0.00527971332740762	0.1357425815038713
