category	name	definition
R00004	diphosphate phosphohydrolase;	Diphosphate + H2O <=> 2 Orthophosphate
R00005	urea-1-carboxylate amidohydrolase	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O
R00048	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate
R00053	digallate acylhydrolase;	Digallate + H2O <=> 2 Gallate
R00066	6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);	4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
R00090	NADH:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O
